REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
State,ak,2010,40,0.875146,0.875146,,,0,,,,15,7,1714
State,ak,2010,41,1.12827,1.12827,,,0,,,,19,7,1684
State,ak,2010,42,0.586042,0.586042,,,0,,,,11,7,1877
State,ak,2010,43,0.967742,0.967742,,,0,,,,18,8,1860
State,ak,2010,44,0.683851,0.683851,,,0,,,,13,8,1901
State,ak,2010,45,0.951904,0.951904,,,0,,,,19,8,1996
State,ak,2010,46,0.962567,0.962567,,,0,,,,18,7,1870
State,ak,2010,47,0.652316,0.652316,,,0,,,,10,6,1533
State,ak,2010,48,0.45977,0.45977,,,0,,,,8,8,1740
State,ak,2010,49,0.797721,0.797721,,,0,,,,14,8,1755
State,ak,2010,50,1.05581,1.05581,,,0,,,,21,9,1989
State,ak,2010,51,0.852273,0.852273,,,0,,,,15,8,1760
State,ak,2010,52,1.13086,1.13086,,,0,,,,21,8,1857
State,ak,2011,1,0.592593,0.592593,,,0,,,,12,8,2025
State,ak,2011,2,1.48227,1.48227,,,0,,,,28,8,1889
State,ak,2011,3,1.66821,1.66821,,,0,,,,36,9,2158
State,ak,2011,4,1.40127,1.40127,,,0,,,,33,9,2355
State,ak,2011,5,3.67868,3.67868,,,0,,,,49,7,1332
State,ak,2011,6,1.95891,1.95891,,,0,,,,41,8,2093
State,ak,2011,7,4.4316,4.4316,,,0,,,,69,7,1557
State,ak,2011,8,2.93454,2.93454,,,0,,,,65,8,2215
State,ak,2011,9,4.8801,4.8801,,,0,,,,116,8,2377
State,ak,2011,10,3.53371,3.53371,,,0,,,,87,8,2462
State,ak,2011,11,2.68747,2.68747,,,0,,,,62,8,2307
State,ak,2011,12,3.02457,3.02457,,,0,,,,48,6,1587
State,ak,2011,13,2.14376,2.14376,,,0,,,,51,8,2379
State,ak,2011,14,2.2082,2.2082,,,0,,,,49,8,2219
State,ak,2011,15,1.36504,1.36504,,,0,,,,31,8,2271
State,ak,2011,16,1.4123,1.4123,,,0,,,,31,7,2195
State,ak,2011,17,0.854271,0.854271,,,0,,,,17,6,1990
State,ak,2011,18,0.798122,0.798122,,,0,,,,17,7,2130
State,ak,2011,19,0.359712,0.359712,,,0,,,,7,7,1946
State,ak,2011,20,0.306279,0.306279,,,0,,,,6,6,1959
State,ak,2011,21,0.716846,0.716846,,,0,,,,14,6,1953
State,ak,2011,22,0.366492,0.366492,,,0,,,,7,6,1910
State,ak,2011,23,0.601751,0.601751,,,0,,,,11,6,1828
State,ak,2011,24,0.552486,0.552486,,,0,,,,10,6,1810
State,ak,2011,25,0.764192,0.764192,,,0,,,,14,6,1832
State,ak,2011,26,0.559284,0.559284,,,0,,,,10,6,1788
State,ak,2011,27,0.500835,0.500835,,,0,,,,9,6,1797
State,ak,2011,28,0.668896,0.668896,,,0,,,,12,6,1794
State,ak,2011,29,0.31746,0.31746,,,0,,,,6,6,1890
State,ak,2011,30,0.410678,0.410678,,,0,,,,8,6,1948
State,ak,2011,31,0.369393,0.369393,,,0,,,,7,7,1895
State,ak,2011,32,0.488865,0.488865,,,0,,,,9,7,1841
State,ak,2011,33,0.322754,0.322754,,,0,,,,6,7,1859
State,ak,2011,34,0.165107,0.165107,,,0,,,,3,6,1817
