ILIREGIONS
2025-12-04 22:03: Total training time: 3.5583min, best loss: 0.048313
2025-12-04 22:03: Horizon 01, MAE: 212.47, RMSE: 440.45, MAPE: 37.3941%
2025-12-04 22:03: Horizon 02, MAE: 278.58, RMSE: 558.11, MAPE: 45.1569%
2025-12-04 22:03: Horizon 03, MAE: 337.53, RMSE: 712.92, MAPE: 44.9661%
2025-12-04 22:03: Horizon 04, MAE: 388.41, RMSE: 803.17, MAPE: 52.3043%
2025-12-04 22:03: Horizon 05, MAE: 447.88, RMSE: 917.76, MAPE: 52.8902%
2025-12-04 22:03: Horizon 06, MAE: 488.22, RMSE: 998.61, MAPE: 59.3379%
2025-12-04 22:03: Horizon 07, MAE: 535.14, RMSE: 1043.57, MAPE: 67.4753%
2025-12-04 22:03: Horizon 08, MAE: 597.08, RMSE: 1157.36, MAPE: 63.5021%
2025-12-04 22:03: Horizon 09, MAE: 620.80, RMSE: 1191.95, MAPE: 57.7062%
2025-12-04 22:03: Horizon 10, MAE: 663.18, RMSE: 1225.10, MAPE: 61.8218%
2025-12-04 22:03: Horizon 11, MAE: 712.99, RMSE: 1313.04, MAPE: 52.5430%
2025-12-04 22:03: Horizon 12, MAE: 719.18, RMSE: 1325.89, MAPE: 57.4641%
2025-12-04 22:03: Horizon 13, MAE: 733.59, RMSE: 1311.62, MAPE: 64.1182%
2025-12-04 22:03: Horizon 14, MAE: 759.75, RMSE: 1389.82, MAPE: 65.5023%
2025-12-04 22:03: Horizon 15, MAE: 822.68, RMSE: 1496.76, MAPE: 62.8211%
2025-12-04 22:03: Average Horizon, MAE: 554.50, RMSE: 1102.20, MAPE: 56.3336%

ILISTATES
2025-12-04 21:52: Total training time: 7.3593min, best loss: 0.067129
2025-12-04 21:52: Horizon 01, MAE: 82.13, RMSE: 232.43, MAPE: 56.5866%
2025-12-04 21:52: Horizon 02, MAE: 98.40, RMSE: 279.43, MAPE: 55.7110%
2025-12-04 21:52: Horizon 03, MAE: 111.47, RMSE: 314.39, MAPE: 59.7653%
2025-12-04 21:52: Horizon 04, MAE: 124.08, RMSE: 338.48, MAPE: 65.5605%
2025-12-04 21:52: Horizon 05, MAE: 131.70, RMSE: 355.04, MAPE: 69.9946%
2025-12-04 21:52: Horizon 06, MAE: 136.94, RMSE: 373.52, MAPE: 72.2469%
2025-12-04 21:52: Horizon 07, MAE: 142.91, RMSE: 381.80, MAPE: 86.5848%
2025-12-04 21:52: Horizon 08, MAE: 144.47, RMSE: 384.20, MAPE: 87.7853%
2025-12-04 21:52: Horizon 09, MAE: 142.17, RMSE: 379.40, MAPE: 90.4548%
2025-12-04 21:52: Horizon 10, MAE: 136.10, RMSE: 363.05, MAPE: 91.4375%
2025-12-04 21:52: Horizon 11, MAE: 130.30, RMSE: 340.09, MAPE: 94.1279%
2025-12-04 21:52: Horizon 12, MAE: 125.99, RMSE: 308.61, MAPE: 96.6606%
2025-12-04 21:52: Horizon 13, MAE: 131.91, RMSE: 323.56, MAPE: 90.1383%
2025-12-04 21:52: Horizon 14, MAE: 138.44, RMSE: 361.74, MAPE: 88.4019%
2025-12-04 21:52: Horizon 15, MAE: 150.88, RMSE: 408.52, MAPE: 87.4624%
2025-12-04 21:52: Average Horizon, MAE: 128.53, RMSE: 345.79, MAPE: 79.5263%
