dataset	model	window	horizon	mae	std_mae	rmse	rmse_states	pcc	pcc_states	r2	r2_states	var	var_states	peak_mae
region785	cola_gnn	20	2	254.878510	172.499634	553.100240	446.120911	0.938077	0.903050	0.872784	0.800596	0.876766	0.809974	231.170944
region785	cola_gnn	20	3	342.842682	238.847122	731.507604	587.820557	0.888675	0.830546	0.777479	0.665774	0.787040	0.684554	313.955994
region785	cola_gnn	20	5	411.240448	275.942902	890.867379	728.187866	0.856212	0.750848	0.669966	0.480512	0.696657	0.535854	370.997620
region785	cola_gnn	20	10	606.719238	412.253082	1161.522977	953.483521	0.786059	0.605148	0.438967	0.130663	0.528205	0.315940	543.883728
region785	cola_gnn	20	15	529.460449	337.476837	940.615191	773.404907	0.802988	0.698794	0.632077	0.397194	0.643570	0.451762	453.924072
region785	CNNRNN_Res	20	2	356.831879	275.555878	680.915950	540.286926	0.904700	0.880769	0.807194	0.713984	0.813855	0.762042	306.220062
region785	CNNRNN_Res	20	3	471.865814	359.750824	864.240599	694.086304	0.857936	0.814185	0.689400	0.531804	0.717066	0.637655	413.635193
region785	CNNRNN_Res	20	5	558.162354	404.770111	1003.948673	815.024597	0.781733	0.696148	0.580863	0.345527	0.609100	0.467015	488.095154
region785	CNNRNN_Res	20	10	752.996643	516.977112	1289.880905	1062.158325	0.587314	0.279811	0.308118	-0.134751	0.342300	0.002624	612.532654
region785	CNNRNN_Res	20	15	777.928772	536.187561	1348.503476	1108.523315	0.547739	0.075747	0.243800	-0.194582	0.299413	-0.020320	615.900330
region785	RNN	20	2	269.621552	182.691574	578.789200	465.905579	0.933797	0.897537	0.860693	0.784422	0.866659	0.797369	245.524567
region785	RNN	20	3	359.191772	247.230667	761.315022	614.502563	0.886760	0.829535	0.758975	0.639521	0.775938	0.674703	330.344574
region785	RNN	20	5	502.997375	338.562958	1002.477244	821.231079	0.815282	0.695140	0.582091	0.359792	0.634509	0.467682	462.754395
region785	RNN	20	10	807.100952	543.136902	1441.939753	1184.980347	0.580189	0.181168	0.135377	-0.315905	0.300519	0.018038	725.802124
region785	RNN	20	15	897.252075	605.478394	1565.393800	1283.511475	0.505070	-0.171731	-0.019013	-0.523528	0.203566	-0.067708	806.572083
region785	AR	20	2	307.653076	212.442902	629.528668	510.140533	0.920222	0.877706	0.835198	0.731965	0.845832	0.764087	283.894135
region785	AR	20	3	408.667664	277.694885	811.257434	664.079346	0.869762	0.798794	0.726316	0.544649	0.753383	0.622903	380.428955
region785	AR	20	5	571.929626	377.382812	1081.511327	897.408020	0.787773	0.654381	0.513599	0.153474	0.602611	0.394896	533.076538
region785	AR	20	10	810.258057	548.450745	1445.761434	1193.757690	0.610150	0.373598	0.130788	-0.403808	0.342717	0.113676	751.320190
region785	AR	20	15	873.726562	595.892090	1547.125237	1272.035889	0.562732	0.261314	0.004632	-0.549182	0.269825	0.067183	810.321106
region785	ARMA	20	2	303.826996	210.786301	625.339283	504.188904	0.918872	0.876404	0.837384	0.738526	0.844223	0.762140	279.072723
region785	ARMA	20	3	401.661316	273.105316	800.268197	653.573425	0.871906	0.801622	0.733680	0.558297	0.758401	0.631895	372.937164
region785	ARMA	20	5	560.242676	373.487122	1067.424529	883.623718	0.786668	0.646622	0.526187	0.185947	0.603859	0.391062	522.109009
region785	ARMA	20	10	800.365906	534.652161	1427.194713	1181.453369	0.609605	0.352833	0.152969	-0.386833	0.347739	0.102834	739.943481
region785	ARMA	20	15	869.272217	599.244080	1548.711803	1271.007812	0.557708	0.253633	0.002590	-0.546536	0.264844	0.061915	808.750122
region785	VAR	20	2	402.312531	292.197632	713.189535	574.680481	0.895425	0.860001	0.788484	0.647204	0.799699	0.725130	344.119171
region785	VAR	20	3	476.942291	325.966064	850.637886	694.825317	0.845694	0.778227	0.699100	0.502146	0.713761	0.591783	410.394348
region785	VAR	20	5	611.478638	414.838837	1074.247993	878.446777	0.742687	0.606581	0.520110	0.196078	0.548140	0.333457	523.226929
region785	VAR	20	10	796.793640	550.981995	1344.888657	1100.051025	0.555267	0.273611	0.247849	-0.175118	0.308254	-0.020311	668.056274
region785	VAR	20	15	807.090515	537.644104	1379.483916	1134.688232	0.521575	0.110415	0.208655	-0.262983	0.271711	-0.119167	659.950378
region785	GAR	20	2	288.132812	201.139175	607.389136	485.143066	0.923823	0.884515	0.846585	0.766799	0.853376	0.780789	263.776947
region785	GAR	20	3	396.667206	273.244537	796.005653	644.035278	0.869426	0.799104	0.736510	0.595506	0.755489	0.635276	365.423767
region785	GAR	20	5	559.503723	377.070648	1061.441532	873.843933	0.783123	0.637894	0.531484	0.259667	0.601905	0.405489	515.965454
region785	GAR	20	10	845.440063	576.910034	1497.357840	1231.904297	0.569395	0.200862	0.067639	-0.424756	0.287877	0.025044	778.905396
region785	GAR	20	15	948.008545	653.475342	1642.075592	1348.188477	0.497549	-0.168024	-0.121293	-0.683795	0.183398	-0.066335	880.269226
region785	SelfAttnRNN	20	2	272.820221	182.901489	571.505222	461.269470	0.933818	0.895033	0.864177	0.784800	0.869358	0.796612	246.613037
region785	SelfAttnRNN	20	3	841.744019	533.135742	1456.478458	1201.443604	0.562118	-0.052777	0.117853	-0.396472	0.249293	-0.003932	718.904907
region785	SelfAttnRNN	20	5	521.248962	353.497345	1016.769547	829.422363	0.812774	0.692560	0.570090	0.359805	0.615029	0.464419	467.104553
region785	SelfAttnRNN	20	10	808.331909	558.004028	1449.182442	1178.701050	0.641223	0.413932	0.126669	-0.241027	0.307896	0.161239	733.927856
region785	SelfAttnRNN	20	15	889.964783	598.521790	1553.142218	1271.236572	0.562356	-0.141477	-0.003125	-0.488631	0.217283	-0.007725	797.755493
region785	lstnet	20	2	301.027893	203.518997	610.005738	501.789215	0.937580	0.895032	0.845261	0.742541	0.859557	0.776197	267.864441
region785	lstnet	20	3	433.555573	286.527161	859.727101	714.515137	0.860307	0.750648	0.692635	0.468099	0.722624	0.547203	390.929138
region785	lstnet	20	5	572.665710	375.434418	1047.652316	867.390808	0.756539	0.538663	0.543578	0.238438	0.563833	0.288185	475.028503
region785	lstnet	20	10	627.477478	439.327301	1135.696758	918.736633	0.700990	0.554203	0.463639	0.203722	0.484621	0.307124	508.379242
region785	lstnet	20	15	740.228333	474.548645	1187.258186	992.692383	0.664041	0.456105	0.413831	-0.117257	0.425402	0.154578	506.655457
region785	stgcn	20	2	402.774048	312.702362	705.804638	566.586975	0.900406	0.887357	0.792842	0.683455	0.806427	0.766306	350.019165
region785	stgcn	20	3	465.246979	350.878204	849.756141	684.256348	0.870831	0.841897	0.699724	0.543147	0.727643	0.673039	406.471802
region785	stgcn	20	5	534.907959	390.078064	1030.832613	826.508667	0.825260	0.766551	0.558115	0.377232	0.609693	0.521179	467.867126
region785	stgcn	20	10	572.240540	420.222046	1087.900386	866.672852	0.752253	0.688834	0.507835	0.311234	0.553588	0.454359	500.991119
region785	stgcn	20	15	659.609070	469.707581	1157.442655	941.600403	0.701405	0.604582	0.442902	0.063892	0.479008	0.268371	586.277405
region785	dcrnn	20	2	381.270874	267.165344	774.020147	627.335632	0.894116	0.836858	0.750864	0.633564	0.780707	0.694168	351.803894
region785	dcrnn	20	3	497.602631	348.062897	958.375937	780.175842	0.833648	0.741340	0.618052	0.435035	0.669461	0.537432	449.945312
region785	dcrnn	20	5	654.194519	462.755981	1218.197131	994.692566	0.756052	0.614359	0.382883	0.089989	0.518745	0.371536	608.374817
region785	dcrnn	20	10	854.957336	577.995911	1506.104993	1246.366943	0.615883	0.322082	0.056715	-0.485856	0.317885	0.104883	796.499878
region785	dcrnn	20	15	933.561157	639.900208	1616.956787	1330.127686	0.569933	0.178817	-0.087250	-0.646442	0.237099	0.055567	871.625366
