dataset	model	window	horizon	mae	std_mae	rmse	rmse_states	pcc	pcc_states	r2	r2_states	var	var_states	peak_mae
state360	cola_gnn	20	2	51.353790	64.351357	149.191945	89.638535	0.952561	0.863803	0.896259	0.660530	0.897577	0.676873	38.175076
state360	cola_gnn	20	3	59.225075	73.308067	173.741771	104.300583	0.941606	0.837763	0.859309	0.589721	0.865167	0.616910	45.082745
state360	cola_gnn	20	5	75.795975	94.455788	212.448882	130.159225	0.913304	0.754890	0.789638	0.336712	0.797843	0.391972	57.698410
state360	cola_gnn	20	10	96.023827	122.909500	250.475025	153.269318	0.889741	0.712839	0.707593	0.017057	0.725411	0.224283	72.959419
state360	cola_gnn	20	15	98.971054	124.425140	245.999119	153.641251	0.903420	0.738250	0.717950	-0.037527	0.740167	0.120947	73.886711
state360	CNNRNN_Res	20	2	94.673401	125.066391	247.007520	146.954605	0.879247	0.741636	0.715633	-0.067655	0.725366	0.365340	68.744606
state360	CNNRNN_Res	20	3	117.978355	161.817978	307.395498	180.412064	0.793279	0.576411	0.559593	-0.371438	0.579643	0.137794	86.774185
state360	CNNRNN_Res	20	5	118.121704	152.532639	290.783398	177.323578	0.790403	0.679096	0.605908	-1.959170	0.610097	-0.206906	77.761551
state360	CNNRNN_Res	20	10	132.780991	187.157776	325.770085	193.340240	0.759459	0.616372	0.505369	-1.074224	0.544315	-0.348447	95.963280
state360	CNNRNN_Res	20	15	111.103905	159.797943	286.300269	167.036728	0.824812	0.774864	0.617966	-0.901891	0.635370	0.163743	79.400467
state360	RNN	20	2	55.143715	72.143524	159.528486	94.766022	0.943305	0.844448	0.881386	0.668852	0.882899	0.688374	41.603153
state360	RNN	20	3	67.078636	87.415222	196.211591	116.320412	0.915144	0.785465	0.820565	0.504436	0.823699	0.548215	50.823143
state360	RNN	20	5	87.075050	108.567192	233.253483	144.294113	0.884062	0.678821	0.746420	0.139405	0.754609	0.276666	63.842632
state360	RNN	20	10	121.312424	156.452896	305.845230	186.876709	0.784793	0.483242	0.564024	-1.166010	0.579512	-0.180250	85.158722
state360	RNN	20	15	151.899628	198.504669	364.053010	218.191360	0.697674	0.476682	0.382285	-1.851388	0.414160	0.142898	109.061890
state360	AR	20	2	61.524918	82.660454	172.083368	101.996574	0.933369	0.824623	0.861982	0.597960	0.864373	0.672503	46.027702
state360	AR	20	3	77.436363	106.562683	212.039750	125.548988	0.900973	0.755741	0.790447	0.405770	0.795887	0.553919	57.232876
state360	AR	20	5	101.032921	139.102280	264.293634	158.017105	0.850682	0.634385	0.674439	-0.087779	0.687159	0.368871	73.846840
state360	AR	20	10	134.059265	183.794312	331.916829	195.941544	0.738419	0.489307	0.486527	-0.915944	0.511709	0.197789	95.102379
state360	AR	20	15	144.947800	204.150940	354.945407	205.609680	0.684619	0.516541	0.412805	-1.483866	0.443270	0.208830	101.595177
state360	ARMA	20	2	61.573845	83.884720	173.012091	101.449554	0.931790	0.825173	0.860488	0.615556	0.862803	0.674909	45.972378
state360	ARMA	20	3	77.349564	106.936821	210.561109	124.101768	0.899880	0.752613	0.793360	0.391106	0.798288	0.552231	56.845879
state360	ARMA	20	5	100.756821	137.420044	260.539899	156.325012	0.848317	0.630898	0.683621	-0.070634	0.693733	0.365434	72.818275
state360	ARMA	20	10	133.909698	184.525101	331.917794	195.700638	0.738733	0.488059	0.486524	-0.906548	0.511625	0.195175	95.024361
state360	ARMA	20	15	144.957611	203.904358	354.702516	205.631516	0.683982	0.510669	0.413609	-1.498191	0.443273	0.206097	101.255936
state360	VAR	20	2	133.029617	164.174530	268.748270	175.552948	0.825376	0.681184	0.663372	-5.284890	0.671240	-3.354514	72.266190
state360	VAR	20	3	136.956055	159.840347	279.571128	185.509308	0.813937	0.630421	0.635713	-5.142355	0.643659	-3.575493	71.610199
state360	VAR	20	5	145.519058	179.293839	304.341143	195.462036	0.771678	0.610815	0.568302	-3.887464	0.589672	-2.907313	77.950935
state360	VAR	20	10	222.421173	278.605743	435.685846	274.018097	0.614856	0.558084	0.115280	-8.622895	0.156023	-7.795392	91.519226
state360	VAR	20	15	215.804672	289.422028	436.932739	269.051971	0.529810	0.519336	0.110209	-5.959688	0.247574	-4.534875	110.812965
state360	GAR	20	2	57.308418	75.615959	162.323733	95.571060	0.937930	0.832288	0.877193	0.656870	0.878509	0.682434	43.556091
state360	GAR	20	3	71.625671	93.612244	199.071742	117.992020	0.905855	0.757314	0.815295	0.487094	0.817900	0.554403	54.295250
state360	GAR	20	5	95.635490	121.459702	247.796737	152.755493	0.861600	0.617149	0.713813	0.158124	0.723664	0.349515	71.954491
state360	GAR	20	10	139.554611	185.552338	342.212630	205.206619	0.726274	0.344153	0.454178	-0.688406	0.482988	0.094381	100.871964
state360	GAR	20	15	152.699722	203.956909	368.875042	220.107376	0.695374	0.310400	0.365813	-1.083933	0.408029	0.084905	112.199654
state360	SelfAttnRNN	20	2	58.892982	75.278458	166.574308	100.752647	0.943107	0.849817	0.870677	0.613774	0.873734	0.680033	44.545048
state360	SelfAttnRNN	20	3	70.528839	89.846840	200.172338	120.093933	0.916139	0.799026	0.813247	0.403679	0.818350	0.564427	53.288639
state360	SelfAttnRNN	20	5	92.628830	115.450035	244.236862	150.948196	0.876181	0.684737	0.721977	-0.050531	0.729746	0.364801	67.930359
state360	SelfAttnRNN	20	10	138.640808	178.302979	335.168812	201.883911	0.735778	0.496604	0.476416	-2.049211	0.491985	0.193151	95.246658
state360	SelfAttnRNN	20	15	173.343903	198.194275	345.373518	222.679489	0.667920	0.311672	0.444048	-5.901471	0.445766	0.058554	80.351898
state360	lstnet	20	2	71.651031	88.421692	187.189545	115.397812	0.925817	0.798930	0.836686	0.453772	0.838554	0.581079	49.168533
state360	lstnet	20	3	92.388168	114.156052	239.314671	147.473557	0.875870	0.659722	0.733070	0.138321	0.737453	0.335910	63.356949
state360	lstnet	20	5	115.111374	136.991211	269.342196	171.430328	0.818264	0.548105	0.661883	-0.957410	0.662645	-0.017786	68.614754
state360	lstnet	20	10	128.468735	162.615112	310.142608	190.564728	0.757659	0.459138	0.551687	-1.625231	0.559470	-0.371596	84.947784
state360	lstnet	20	15	134.628647	197.168320	327.189165	191.175797	0.824133	0.712207	0.501050	-0.483504	0.565186	-0.036269	99.374420
state360	stgcn	20	2	87.114365	111.495438	201.723395	126.030495	0.905306	0.877512	0.810342	-1.423579	0.812066	-0.225158	55.926617
state360	stgcn	20	3	93.152489	120.281303	221.829379	136.896591	0.884628	0.839465	0.770651	-1.450681	0.773130	-0.220798	59.534550
state360	stgcn	20	5	104.032341	144.500870	274.335276	159.210266	0.820329	0.764695	0.649230	-1.374853	0.656771	-0.244701	71.747742
state360	stgcn	20	10	116.075615	166.009064	295.164758	170.580658	0.806392	0.738601	0.593942	-1.658543	0.614367	-0.313457	84.961166
state360	stgcn	20	15	114.522072	175.067856	296.382513	166.862991	0.802649	0.791836	0.590585	-1.943742	0.608802	-0.270565	83.497856
state360	dcrnn	20	2	63.399792	76.788315	165.161391	103.504692	0.940197	0.800855	0.872862	0.474448	0.875259	0.494966	46.854134
state360	dcrnn	20	3	80.183723	92.869560	208.763809	132.218445	0.910368	0.734633	0.796872	0.216137	0.803455	0.315781	58.114529
state360	dcrnn	20	5	95.744400	120.323250	255.861886	158.508423	0.871082	0.608440	0.694880	0.011977	0.710645	0.213820	73.159920
state360	dcrnn	20	10	122.767174	154.392746	314.013572	192.566071	0.815477	0.485306	0.540426	-0.663784	0.574661	-0.107554	92.502808
state360	dcrnn	20	15	127.812431	168.372391	321.315934	194.115997	0.825612	0.597029	0.518802	-1.174406	0.559621	-0.222791	95.271095
